iter	 posterior	 likelihood	 prior	 mu_pandas	 sigma_pandas 	 mu_bears 	 sigma_bears 	 alpha 	 beta 	 mu_diff
59	-0.07252311114018539	-59.243852742018674	-25.39605094920086	90.43947901358077	11.02775772435789	67.41479863246079	9.29655405758367	0.8196269896020701	0.06439110113093638	23.02468038111998
60	-0.07252311114018539	-59.243852742018674	-25.39605094920086	90.43947901358077	11.02775772435789	67.41479863246079	9.29655405758367	0.8196269896020701	0.06439110113093638	23.02468038111998
61	-0.8752886566906284	-59.20395853245059	-26.31123381545956	91.3185519817525	11.513061280963	66.0198135692585	9.584917574647184	0.628643214822947	0.13588215600782572	25.298738412494004
62	-0.8752886566906284	-59.20395853245059	-26.31123381545956	91.3185519817525	11.513061280963	66.0198135692585	9.584917574647184	0.628643214822947	0.13588215600782572	25.298738412494004
63	-0.8752886566906284	-59.20395853245059	-26.31123381545956	91.3185519817525	11.513061280963	66.0198135692585	9.584917574647184	0.628643214822947	0.13588215600782572	25.298738412494004
64	-0.8752886566906284	-59.20395853245059	-26.31123381545956	91.3185519817525	11.513061280963	66.0198135692585	9.584917574647184	0.628643214822947	0.13588215600782572	25.298738412494004
65	0.058400208373313944	-57.09224592630915	-28.364546213227705	91.9560865653875	11.85331877091674	67.7700504748556	9.899612194775818	0.7428917443632228	0.2939273706708857	24.1860360905319
66	0.058400208373313944	-57.09224592630915	-28.364546213227705	91.9560865653875	11.85331877091674	67.7700504748556	9.899612194775818	0.7428917443632228	0.2939273706708857	24.1860360905319
67	1.3792948937938263	-55.34269407599566	-28.73480316974735	93.1545916728629	12.448469215432922	68.99487453736324	10.379267717523478	0.28930993067057087	0.15238497973159282	24.159717135499662
68	1.3792948937938263	-55.34269407599566	-28.73480316974735	93.1545916728629	12.448469215432922	68.99487453736324	10.379267717523478	0.28930993067057087	0.15238497973159282	24.159717135499662
69	1.3792948937938263	-55.34269407599566	-28.73480316974735	93.1545916728629	12.448469215432922	68.99487453736324	10.379267717523478	0.28930993067057087	0.15238497973159282	24.159717135499662
70	1.3792948937938263	-55.34269407599566	-28.73480316974735	93.1545916728629	12.448469215432922	68.99487453736324	10.379267717523478	0.28930993067057087	0.15238497973159282	24.159717135499662
71	1.3792948937938263	-55.34269407599566	-28.73480316974735	93.1545916728629	12.448469215432922	68.99487453736324	10.379267717523478	0.28930993067057087	0.15238497973159282	24.159717135499662
72	1.3792948937938263	-55.34269407599566	-28.73480316974735	93.1545916728629	12.448469215432922	68.99487453736324	10.379267717523478	0.28930993067057087	0.15238497973159282	24.159717135499662
73	1.3792948937938263	-55.34269407599566	-28.73480316974735	93.1545916728629	12.448469215432922	68.99487453736324	10.379267717523478	0.28930993067057087	0.15238497973159282	24.159717135499662
74	-0.023173308523965375	-54.29588464144112	-29.804785912825864	93.72375496578091	11.525325873573923	70.65054460179576	11.149861579133946	0.39983903035911894	0.2527197153797536	23.073210363985154
75	-0.4846168996663067	-53.94738580719954	-30.63790164673376	93.55864139400101	11.627026634402558	71.46745141432083	11.372508512381216	0.10509083095886917	0.13102405623602142	22.09118997968018
76	4.281535514390782	-53.66947691859646	-26.634275020946042	93.70742033206491	11.990861154504282	71.45572592600236	11.847043595751295	0.37058523733440607	0.026204867874127458	22.251694406062555
77	4.281535514390782	-53.66947691859646	-26.634275020946042	93.70742033206491	11.990861154504282	71.45572592600236	11.847043595751295	0.37058523733440607	0.026204867874127458	22.251694406062555
78	0.5851728799596003	-53.28570885292769	-26.43287020665522	93.82114175219388	12.128999350552263	72.34656385751444	12.25811058329867	0.5656174190122133	0.08730503563220271	21.47457789467944
79	0.5851728799596003	-53.28570885292769	-26.43287020665522	93.82114175219388	12.128999350552263	72.34656385751444	12.25811058329867	0.5656174190122133	0.08730503563220271	21.47457789467944
80	0.5851728799596003	-53.28570885292769	-26.43287020665522	93.82114175219388	12.128999350552263	72.34656385751444	12.25811058329867	0.5656174190122133	0.08730503563220271	21.47457789467944
81	0.5851728799596003	-53.28570885292769	-26.43287020665522	93.82114175219388	12.128999350552263	72.34656385751444	12.25811058329867	0.5656174190122133	0.08730503563220271	21.47457789467944
82	0.5851728799596003	-53.28570885292769	-26.43287020665522	93.82114175219388	12.128999350552263	72.34656385751444	12.25811058329867	0.5656174190122133	0.08730503563220271	21.47457789467944
83	0.5851728799596003	-53.28570885292769	-26.43287020665522	93.82114175219388	12.128999350552263	72.34656385751444	12.25811058329867	0.5656174190122133	0.08730503563220271	21.47457789467944
84	0.5851728799596003	-53.28570885292769	-26.43287020665522	93.82114175219388	12.128999350552263	72.34656385751444	12.25811058329867	0.5656174190122133	0.08730503563220271	21.47457789467944
85	-0.5285921293415612	-54.12154303331463	-26.125628155609842	91.82828625341492	11.705756993209373	72.23039290454071	12.52668908570486	0.6713054122662733	0.09015037695442463	19.59789334887421
86	-0.5285921293415612	-54.12154303331463	-26.125628155609842	91.82828625341492	11.705756993209373	72.23039290454071	12.52668908570486	0.6713054122662733	0.09015037695442463	19.59789334887421
87	-0.5285921293415612	-54.12154303331463	-26.125628155609842	91.82828625341492	11.705756993209373	72.23039290454071	12.52668908570486	0.6713054122662733	0.09015037695442463	19.59789334887421
88	-0.5285921293415612	-54.12154303331463	-26.125628155609842	91.82828625341492	11.705756993209373	72.23039290454071	12.52668908570486	0.6713054122662733	0.09015037695442463	19.59789334887421
89	-0.5285921293415612	-54.12154303331463	-26.125628155609842	91.82828625341492	11.705756993209373	72.23039290454071	12.52668908570486	0.6713054122662733	0.09015037695442463	19.59789334887421
90	-0.5285921293415612	-54.12154303331463	-26.125628155609842	91.82828625341492	11.705756993209373	72.23039290454071	12.52668908570486	0.6713054122662733	0.09015037695442463	19.59789334887421
91	-0.5285921293415612	-54.12154303331463	-26.125628155609842	91.82828625341492	11.705756993209373	72.23039290454071	12.52668908570486	0.6713054122662733	0.09015037695442463	19.59789334887421
92	-0.5285921293415612	-54.12154303331463	-26.125628155609842	91.82828625341492	11.705756993209373	72.23039290454071	12.52668908570486	0.6713054122662733	0.09015037695442463	19.59789334887421
93	-0.5285921293415612	-54.12154303331463	-26.125628155609842	91.82828625341492	11.705756993209373	72.23039290454071	12.52668908570486	0.6713054122662733	0.09015037695442463	19.59789334887421
94	-0.5285921293415612	-54.12154303331463	-26.125628155609842	91.82828625341492	11.705756993209373	72.23039290454071	12.52668908570486	0.6713054122662733	0.09015037695442463	19.59789334887421
95	0.7180990211969203	-53.7203898106916	-25.808682357035956	92.5475103097018	12.436805324234445	72.12028852877827	11.785746219625256	0.8868596849317537	0.11140119298648965	20.42722178092353
96	0.7180990211969203	-53.7203898106916	-25.808682357035956	92.5475103097018	12.436805324234445	72.12028852877827	11.785746219625256	0.8868596849317537	0.11140119298648965	20.42722178092353
97	0.7180990211969203	-53.7203898106916	-25.808682357035956	92.5475103097018	12.436805324234445	72.12028852877827	11.785746219625256	0.8868596849317537	0.11140119298648965	20.42722178092353
98	0.7180990211969203	-53.7203898106916	-25.808682357035956	92.5475103097018	12.436805324234445	72.12028852877827	11.785746219625256	0.8868596849317537	0.11140119298648965	20.42722178092353
99	0.7180990211969203	-53.7203898106916	-25.808682357035956	92.5475103097018	12.436805324234445	72.12028852877827	11.785746219625256	0.8868596849317537	0.11140119298648965	20.42722178092353
100	0.7180990211969203	-53.7203898106916	-25.808682357035956	92.5475103097018	12.436805324234445	72.12028852877827	11.785746219625256	0.8868596849317537	0.11140119298648965	20.42722178092353
101	-4.6166232630258435	-53.40992587533191	-30.73576955542148	92.39230284717074	12.887710307801019	72.75081588400552	12.47319849499022	0.879711906777594	0.38452825939133284	19.64148696316522
102	-1.1865536421387333	-53.733483743756864	-31.598765329135265	91.82009119663536	12.219857287078929	72.89328568528151	13.414643342238882	0.4586846955684951	0.3110537905875629	18.926805511353848
103	-1.1865536421387333	-53.733483743756864	-31.598765329135265	91.82009119663536	12.219857287078929	72.89328568528151	13.414643342238882	0.4586846955684951	0.3110537905875629	18.926805511353848
104	-1.1865536421387333	-53.733483743756864	-31.598765329135265	91.82009119663536	12.219857287078929	72.89328568528151	13.414643342238882	0.4586846955684951	0.3110537905875629	18.926805511353848
105	-1.1865536421387333	-53.733483743756864	-31.598765329135265	91.82009119663536	12.219857287078929	72.89328568528151	13.414643342238882	0.4586846955684951	0.3110537905875629	18.926805511353848
106	-1.1865536421387333	-53.733483743756864	-31.598765329135265	91.82009119663536	12.219857287078929	72.89328568528151	13.414643342238882	0.4586846955684951	0.3110537905875629	18.926805511353848
107	-1.1865536421387333	-53.733483743756864	-31.598765329135265	91.82009119663536	12.219857287078929	72.89328568528151	13.414643342238882	0.4586846955684951	0.3110537905875629	18.926805511353848
108	-1.1865536421387333	-53.733483743756864	-31.598765329135265	91.82009119663536	12.219857287078929	72.89328568528151	13.414643342238882	0.4586846955684951	0.3110537905875629	18.926805511353848
109	-1.1865536421387333	-53.733483743756864	-31.598765329135265	91.82009119663536	12.219857287078929	72.89328568528151	13.414643342238882	0.4586846955684951	0.3110537905875629	18.926805511353848
110	2.9760776448022455	-53.71273174893584	-28.643439679154042	93.18926645837897	11.280506629920234	72.40715961701513	13.294426186654182	0.18834850905686973	0.08283311172874175	20.78210684136384
111	2.9760776448022455	-53.71273174893584	-28.643439679154042	93.18926645837897	11.280506629920234	72.40715961701513	13.294426186654182	0.18834850905686973	0.08283311172874175	20.78210684136384
112	0.7840472587773206	-53.853544789557574	-27.718579379754992	91.59225368065056	12.157424941178425	72.89108028996615	12.872945498499188	0.40695485722777924	0.11897279384351966	18.701173390684403
113	0.4199664506328986	-53.896035882168746	-27.256121836510914	92.45274925107229	11.988367582059874	71.66480692423964	12.663711892603663	0.30950823621803925	0.06025765026499219	20.78794232683265
114	0.4199664506328986	-53.896035882168746	-27.256121836510914	92.45274925107229	11.988367582059874	71.66480692423964	12.663711892603663	0.30950823621803925	0.06025765026499219	20.78794232683265
115	0.4199664506328986	-53.896035882168746	-27.256121836510914	92.45274925107229	11.988367582059874	71.66480692423964	12.663711892603663	0.30950823621803925	0.06025765026499219	20.78794232683265
116	0.4199664506328986	-53.896035882168746	-27.256121836510914	92.45274925107229	11.988367582059874	71.66480692423964	12.663711892603663	0.30950823621803925	0.06025765026499219	20.78794232683265
117	0.4199664506328986	-53.896035882168746	-27.256121836510914	92.45274925107229	11.988367582059874	71.66480692423964	12.663711892603663	0.30950823621803925	0.06025765026499219	20.78794232683265
118	0.4199664506328986	-53.896035882168746	-27.256121836510914	92.45274925107229	11.988367582059874	71.66480692423964	12.663711892603663	0.30950823621803925	0.06025765026499219	20.78794232683265
119	0.4199664506328986	-53.896035882168746	-27.256121836510914	92.45274925107229	11.988367582059874	71.66480692423964	12.663711892603663	0.30950823621803925	0.06025765026499219	20.78794232683265
120	0.4199664506328986	-53.896035882168746	-27.256121836510914	92.45274925107229	11.988367582059874	71.66480692423964	12.663711892603663	0.30950823621803925	0.06025765026499219	20.78794232683265
